institution_id,institution_name,institution_state,institution_type,degree_level,degree_field,major_category,graduation_year,cohort_year,industry,employment_count,total_graduates,employment_rate,median_earnings_1yr,median_earnings_5yr,median_earnings_10yr,p25_earnings,p75_earnings,source_file
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 1,CIP 0.0,CIP major group 0,0,0,All industries,246642,210672,,41835.0,53316.0,62326.0,28553.0,59516.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 2,CIP 0.0,CIP major group 0,0,0,All industries,49303,111619,44.17,45192.0,60154.0,70251.0,33197.0,60367.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 3,CIP 0.0,CIP major group 0,0,0,All industries,588637,1066871,55.17,41740.0,57021.0,68044.0,27040.0,63709.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 4,CIP 0.0,CIP major group 0,0,0,All industries,5104,236,,62258.0,75454.0,85551.0,42957.0,83021.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 5,CIP 0.0,CIP major group 0,0,0,All industries,1302467,1865302,69.83,49880.0,67498.0,79863.0,33653.0,69146.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 7,CIP 0.0,CIP major group 0,0,0,All industries,474947,628674,75.55,71497.0,85419.0,97362.0,54242.0,94555.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 17,CIP 0.0,CIP major group 0,0,0,All industries,49487,66717,74.17,85519.0,106608.0,121873.0,60976.0,121779.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 18,CIP 0.0,CIP major group 0,0,0,All industries,59979,70740,84.79,77555.0,147972.0,195656.0,63876.0,127056.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 1,CIP 1.0,CIP major group 1,0,0,All industries,3307,4071,81.23,33869.0,42078.0,46950.0,25127.0,44748.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 2,CIP 1.0,CIP major group 1,0,0,All industries,200,266,75.19,31848.0,40588.0,48182.0,25203.0,38060.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 3,CIP 1.0,CIP major group 1,0,0,All industries,4053,6357,63.76,36708.0,45437.0,56942.0,27503.0,46821.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 4,CIP 1.0,CIP major group 1,0,0,All industries,,,,,,,,,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 5,CIP 1.0,CIP major group 1,0,0,All industries,29794,43348,68.73,43384.0,64307.0,80517.0,30333.0,57791.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 7,CIP 1.0,CIP major group 1,0,0,All industries,3937,5625,69.99,55223.0,72574.0,89950.0,40379.0,71363.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 17,CIP 1.0,CIP major group 1,0,0,All industries,983,1362,72.17,77355.0,103305.0,122792.0,54075.0,107376.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 18,CIP 1.0,CIP major group 1,0,0,All industries,2287,2527,90.5,91302.0,115828.0,126069.0,69786.0,112937.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 1,CIP 3.0,CIP major group 3,0,0,All industries,37,96,38.54,20923.0,46249.0,,16793.0,26291.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 3,CIP 3.0,CIP major group 3,0,0,All industries,127,360,35.28,32393.0,43523.0,,23709.0,48334.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 4,CIP 3.0,CIP major group 3,0,0,All industries,82,,,31637.0,54404.0,,22255.0,47270.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 5,CIP 3.0,CIP major group 3,0,0,All industries,8851,12511,70.75,39898.0,60929.0,78338.0,27718.0,53358.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 7,CIP 3.0,CIP major group 3,0,0,All industries,2193,2850,76.95,56008.0,73953.0,88904.0,40793.0,75051.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 17,CIP 3.0,CIP major group 3,0,0,All industries,437,575,76.0,62075.0,87632.0,103389.0,46827.0,78347.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 1,CIP 4.0,CIP major group 4,0,0,All industries,,,,,,,,,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 3,CIP 4.0,CIP major group 4,0,0,All industries,295,685,43.07,34760.0,48715.0,65986.0,23700.0,53343.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 5,CIP 4.0,CIP major group 4,0,0,All industries,10606,16421,64.59,47486.0,66341.0,83194.0,34445.0,60342.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 7,CIP 4.0,CIP major group 4,0,0,All industries,5331,7514,70.95,61661.0,77617.0,94151.0,50283.0,73135.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 17,CIP 4.0,CIP major group 4,0,0,All industries,243,393,61.83,81182.0,99377.0,114647.0,64961.0,107036.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 3,CIP 5.0,CIP major group 5,0,0,All industries,,35,,,,,,,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 5,CIP 5.0,CIP major group 5,0,0,All industries,1902,3590,52.98,42917.0,59864.0,74301.0,29814.0,58746.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 7,CIP 5.0,CIP major group 5,0,0,All industries,733,1376,53.27,49128.0,65469.0,77387.0,32629.0,69518.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 17,CIP 5.0,CIP major group 5,0,0,All industries,153,226,67.7,61036.0,73658.0,84400.0,44398.0,83368.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 1,CIP 9.0,CIP major group 9,0,0,All industries,53,71,74.65,28680.0,35940.0,,20944.0,46777.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 2,CIP 9.0,CIP major group 9,0,0,All industries,,56,,,,,,,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 3,CIP 9.0,CIP major group 9,0,0,All industries,1915,4598,41.65,28312.0,41825.0,52932.0,20664.0,40392.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 4,CIP 9.0,CIP major group 9,0,0,All industries,58,,,34840.0,,,29165.0,60590.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 5,CIP 9.0,CIP major group 9,0,0,All industries,63256,91944,68.8,41072.0,61380.0,76324.0,29530.0,54266.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 7,CIP 9.0,CIP major group 9,0,0,All industries,4139,6219,66.55,52973.0,73304.0,87211.0,38106.0,69571.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 17,CIP 9.0,CIP major group 9,0,0,All industries,374,560,66.79,81761.0,90030.0,104398.0,65815.0,101802.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 1,CIP 10.0,CIP major group 10,0,0,All industries,1295,1044,,30590.0,42910.0,53343.0,21723.0,44624.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 2,CIP 10.0,CIP major group 10,0,0,All industries,33,631,5.23,24438.0,30437.0,,19109.0,28836.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 3,CIP 10.0,CIP major group 10,0,0,All industries,1683,3466,48.56,31392.0,44372.0,56928.0,22097.0,45211.0,pseoe_tx_raw.csv
00000048,PSEO Institution 00000048,Texas,Institution level S,Degree level 4,CIP 10.0,CIP major group 10,0,0,All industries,,,,,,,,,pseoe_tx_raw.csv
